entity_id,entity_type,fiware_servicepath,temperature_1,time_index
mkr1300-14004-01,Waste,/rabanales,108.0,1573078368000
mkr1300-14004-01,Waste,/rabanales,108.0,1573078764000
mkr1300-14004-01,Waste,/rabanales,109.0,1573079982000
mkr1300-14004-01,Waste,/rabanales,108.0,1573080194000
mkr1300-14004-01,Waste,/rabanales,109.0,1573080944000
mkr1300-14004-01,Waste,/rabanales,108.0,1573081410000
mkr1300-14004-01,Waste,/rabanales,108.0,1573081418000
mkr1300-14004-01,Waste,/rabanales,109.0,1573082770000
mkr1300-14004-01,Waste,/rabanales,110.0,1573083510000
mkr1300-14004-01,Waste,/rabanales,108.0,1573083855000
mkr1300-14004-01,Waste,/rabanales,108.0,1573088868000
mkr1300-14004-01,Waste,/rabanales,109.0,1573089735000
mkr1300-14004-01,Waste,/rabanales,108.0,1573090561000
mkr1300-14004-01,Waste,/rabanales,108.0,1573090823000
mkr1300-14004-01,Waste,/rabanales,109.0,1573091176000
mkr1300-14004-01,Waste,/rabanales,109.0,1573091303000
mkr1300-14004-01,Waste,/rabanales,109.0,1573091568000
mkr1300-14004-01,Waste,/rabanales,109.0,1573092045000
mkr1300-14004-01,Waste,/rabanales,109.0,1573092188000
mkr1300-14004-01,Waste,/rabanales,109.0,1573097877000
mkr1300-14004-01,Waste,/rabanales,109.0,1573098276000
mkr1300-14004-01,Waste,/rabanales,110.0,1573098480000
mkr1300-14004-01,Waste,/rabanales,110.0,1573098623000
mkr1300-14004-01,Waste,/rabanales,110.0,1573098743000
mkr1300-14004-01,Waste,/rabanales,109.0,1573099101000
mkr1300-14004-01,Waste,/rabanales,109.0,1573099495000
mkr1300-14004-01,Waste,/rabanales,109.0,1573099838000
mkr1300-14004-01,Waste,/rabanales,109.0,1573099969000
mkr1300-14004-01,Waste,/rabanales,109.0,1573103499000
mkr1300-14004-01,Waste,/rabanales,109.0,1573103628000
mkr1300-14004-01,Waste,/rabanales,109.0,1573104101000
mkr1300-14004-01,Waste,/rabanales,109.0,1573104110000
mkr1300-14004-01,Waste,/rabanales,109.0,1573104236000
mkr1300-14004-01,Waste,/rabanales,108.0,1573105200000
mkr1300-14004-01,Waste,/rabanales,108.0,1573105327000
mkr1300-14004-01,Waste,/rabanales,108.0,1573106669000
mkr1300-14004-01,Waste,/rabanales,108.0,1573106675000
mkr1300-14004-01,Waste,/rabanales,109.0,1573111417000
mkr1300-14004-01,Waste,/rabanales,109.0,1573111691000
mkr1300-14004-01,Waste,/rabanales,108.0,1573111896000
mkr1300-14004-01,Waste,/rabanales,108.0,1573111901000
mkr1300-14004-01,Waste,/rabanales,108.0,1573112164000
mkr1300-14004-01,Waste,/rabanales,108.0,1573112301000
mkr1300-14004-01,Waste,/rabanales,108.0,1573113517000
mkr1300-14004-01,Waste,/rabanales,109.0,1573114608000
mkr1300-14004-01,Waste,/rabanales,109.0,1573114728000
mkr1300-14004-01,Waste,/rabanales,108.0,1573119473000
mkr1300-14004-01,Waste,/rabanales,108.0,1573119481000
mkr1300-14004-01,Waste,/rabanales,109.0,1573119825000
mkr1300-14004-01,Waste,/rabanales,109.0,1573120086000
mkr1300-14004-01,Waste,/rabanales,108.0,1573120440000
