entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,1.24,284.84,1573270586000,229.22
wibee-14004-01,Energy,/rabanales,1.19,272.44,1573271786000,228.95
wibee-14004-01,Energy,/rabanales,1.24,283.48,1573275387000,228.51
wibee-14004-01,Energy,/rabanales,1.2,272.12,1573277488000,227.18
wibee-14004-01,Energy,/rabanales,1.2,275.27,1573267285000,229.4
wibee-14004-01,Energy,/rabanales,1.21,276.91,1573274187000,228.2
wibee-14004-01,Energy,/rabanales,8.28,1889.42,1573299695000,228.07
wibee-14004-01,Energy,/rabanales,5.73,1308.08,1573300295000,228.15
wibee-14004-01,Energy,/rabanales,7.33,1667.09,1573301495000,227.35
wibee-14004-01,Energy,/rabanales,1.63,370.06,1573293693000,227.29
wibee-14004-01,Energy,/rabanales,1.58,359.01,1573296994000,227.54
wibee-14004-01,Energy,/rabanales,1.57,356.19,1573297294000,227.29
wibee-14004-01,Energy,/rabanales,1.57,361.39,1573297894000,227.93
wibee-14004-01,Energy,/rabanales,1.97,450.37,1573298494000,228.25
wibee-14004-01,Energy,/rabanales,1.6,365.0,1573294293000,227.35
wibee-14004-01,Energy,/rabanales,1.22,278.54,1573315900000,228.46
wibee-14004-01,Energy,/rabanales,1.19,271.66,1573316500000,227.46
wibee-14004-01,Energy,/rabanales,1.26,287.95,1573319201000,227.91
wibee-14004-01,Energy,/rabanales,1.27,286.13,1573319801000,225.77
wibee-14004-01,Energy,/rabanales,1.22,272.76,1573320401000,224.35
wibee-14004-01,Energy,/rabanales,1.27,288.34,1573321301000,227.31
wibee-14004-01,Energy,/rabanales,1.22,277.86,1573314099000,228.6
wibee-14004-01,Energy,/rabanales,1.21,273.92,1573317700000,226.5
wibee-14004-01,Energy,/rabanales,1.29,294.67,1573321602000,228.6
wibee-14004-01,Energy,/rabanales,1.96,444.46,1573328504000,226.69
wibee-14004-01,Energy,/rabanales,2.31,525.49,1573329104000,227.05
wibee-14004-01,Energy,/rabanales,2.49,566.28,1573332405000,227.84
wibee-14004-01,Energy,/rabanales,2.58,590.92,1573333605000,229.09
wibee-14004-01,Energy,/rabanales,1.88,430.69,1573335706000,229.39
wibee-14004-01,Energy,/rabanales,2.49,566.72,1573333005000,227.8
wibee-14004-01,Energy,/rabanales,1.73,396.08,1573334806000,229.5
wibee-14004-01,Energy,/rabanales,1.88,431.38,1573335106000,229.1
wibee-14004-01,Energy,/rabanales,1.72,386.82,1573336306000,225.5
wibee-14004-01,Energy,/rabanales,1.41,319.79,1573347410000,226.16
wibee-14004-01,Energy,/rabanales,1.44,325.43,1573348010000,226.53
wibee-14004-01,Energy,/rabanales,1.28,289.97,1573351611000,227.04
wibee-14004-01,Energy,/rabanales,1.27,288.33,1573351911000,227.67
wibee-14004-01,Energy,/rabanales,1.26,287.05,1573355512000,228.57
wibee-14004-01,Energy,/rabanales,1.21,277.69,1573356413000,229.29
wibee-14004-01,Energy,/rabanales,1.29,294.65,1573357313000,229.13
wibee-14004-01,Energy,/rabanales,1.26,291.14,1573358213000,230.16
wibee-14004-01,Energy,/rabanales,1.26,287.32,1573359413000,228.36
wibee-14004-01,Energy,/rabanales,13.7,3108.37,1573379276000,226.91
wibee-14004-01,Energy,/rabanales,8.37,1890.53,1573380476000,225.99
wibee-14004-01,Energy,/rabanales,7.58,1722.15,1573382877000,227.09
wibee-14004-01,Energy,/rabanales,10.4,2360.07,1573378976000,226.97
wibee-14004-01,Energy,/rabanales,9.2,2086.53,1573380176000,226.83
wibee-14004-01,Energy,/rabanales,1.28,291.25,1573384077000,227.05
wibee-14004-01,Energy,/rabanales,1.24,281.23,1573385278000,226.59
wibee-14004-01,Energy,/rabanales,1.26,281.88,1573391880000,223.57
wibee-14004-01,Energy,/rabanales,1.2,269.5,1573391279000,223.75
wibee-14004-01,Energy,/rabanales,7.82,1742.69,1573415887000,222.82
wibee-14004-01,Energy,/rabanales,2.38,533.38,1573414687000,223.69
wibee-14004-01,Energy,/rabanales,1.58,352.97,1573415587000,223.19
