accelerometer_7,analog_in_4,digital_in_1,digital_in_2,digital_in_3,entity_id,entity_type,fiware_servicepath,luminosity_6,temperature_5,time_index
'{"x": -0.869, "y": -0.247, "z": 0.526}',3.48,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,17.0,25.5,1576349536000
'{"x": -0.069, "y": -1.021, "z": 0.267}',3.49,0.0,0.0,0.0,nodettn-001,Ambient,/rabanales,22.0,24.5,1576348605000
'{"x": 0.011, "y": 0.003, "z": 1.017}',3.46,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.8,1576349838000
'{"x": 0.007, "y": 0.004, "z": 1.017}',3.47,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.8,1576349804000
'{"x": 0.007, "y": 0.005, "z": 1.015}',3.46,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.7,1576349939000
'{"x": 0.007, "y": 0.003, "z": 1.018}',3.46,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.6,1576350039000
'{"x": 0.006, "y": 0.004, "z": 1.018}',3.46,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.6,1576350140000
'{"x": 0.008, "y": 0.005, "z": 1.019}',3.46,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.6,1576350207000
'{"x": 0.005, "y": 0.003, "z": 1.016}',3.45,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.5,1576350375000
'{"x": 0.006, "y": 0.003, "z": 1.016}',3.45,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.5,1576350408000
'{"x": 0.007, "y": 0.003, "z": 1.021}',3.45,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.4,1576350677000
'{"x": 0.008, "y": 0.003, "z": 1.017}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576350878000
'{"x": 0.01, "y": 0.002, "z": 1.021}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.4,1576350912000
'{"x": 0.009, "y": 0.004, "z": 1.015}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576350945000
'{"x": 0.007, "y": 0.004, "z": 1.018}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576351280000
'{"x": 0.009, "y": 0.002, "z": 1.018}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576351314000
'{"x": 0.008, "y": 0.005, "z": 1.019}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576351348000
'{"x": 0.008, "y": 0.004, "z": 1.02}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576351046000
'{"x": 0.009, "y": 0.004, "z": 1.02}',3.44,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.3,1576351079000
'{"x": 0.025, "y": 0.011, "z": 1.015}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.0,1576352795000
'{"x": 0.023, "y": 0.009, "z": 1.013}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.0,1576353091000
'{"x": 0.024, "y": 0.012, "z": 1.016}',3.41,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.0,1576353561000
'{"x": 0.024, "y": 0.011, "z": 1.016}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.1,1576352354000
'{"x": 0.023, "y": 0.012, "z": 1.018}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.1,1576352421000
'{"x": 0.025, "y": 0.011, "z": 1.017}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.1,1576352588000
'{"x": 0.024, "y": 0.011, "z": 1.014}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.1,1576352622000
'{"x": 0.023, "y": 0.01, "z": 1.014}',3.41,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.0,1576353393000
'{"x": 0.023, "y": 0.01, "z": 1.019}',3.42,1.0,0.0,0.0,nodettn-001,Ambient,/rabanales,16.0,25.1,1576352823000
