97,94.5,14.6,0.04,2021-04-22T08:08:33.000
98,93.0,14.9,0.33,2021-04-22T08:13:34.000
99,92.0,15.1,0.16,2021-04-22T08:18:34.000
100,92.0,15.2,0.55,2021-04-22T08:23:34.000
101,92.0,15.3,0.69,2021-04-22T08:28:34.000
102,90.5,15.4,0.53,2021-04-22T08:33:34.000
103,90.0,15.4,0.34,2021-04-22T08:38:34.000
104,90.0,15.6,0.61,2021-04-22T08:43:35.000
105,90.5,15.6,0.08,2021-04-22T08:48:35.000
106,90.0,15.5,0.36,2021-04-22T08:53:35.000
107,90.0,15.6,0.18,2021-04-22T08:58:35.000
108,89.5,15.6,0.64,2021-04-22T09:03:35.000
109,90.5,15.6,0.67,2021-04-22T09:08:35.000
110,89.0,15.7,0.94,2021-04-22T09:13:35.000
111,88.0,15.8,0.5,2021-04-22T09:18:35.000
112,89.0,15.8,0.2,2021-04-22T09:23:35.000
113,89.5,15.9,0.32,2021-04-22T09:28:36.000
114,89.5,16.0,0.17,2021-04-22T09:33:36.000
115,84.5,16.1,0.4,2021-04-22T09:38:36.000
116,84.0,16.1,0.86,2021-04-22T09:43:36.000
117,82.0,16.2,0.95,2021-04-22T09:48:36.000
118,82.5,16.2,1.34,2021-04-22T09:53:36.000
119,80.0,16.3,1.31,2021-04-22T09:58:37.000
120,82.5,16.5,0.6,2021-04-22T10:03:37.000
121,81.5,16.6,1.33,2021-04-22T10:08:37.000
122,78.5,16.7,1.7,2021-04-22T10:13:37.000
123,79.5,16.7,1.2,2021-04-22T10:18:37.000
124,78.5,16.8,1.05,2021-04-22T10:23:38.000
125,77.5,16.9,0.98,2021-04-22T10:28:38.000
126,77.0,17.1,0.98,2021-04-22T10:33:38.000
127,75.0,17.4,1.32,2021-04-22T10:38:38.000
128,72.5,17.6,1.37,2021-04-22T10:43:38.000
129,72.5,17.6,1.0,2021-04-22T10:48:38.000
130,73.5,17.8,0.62,2021-04-22T10:53:38.000
131,71.0,18.1,1.1,2021-04-22T10:58:39.000
132,70.0,18.4,1.96,2021-04-22T11:03:39.000
133,70.0,18.7,1.14,2021-04-22T11:08:39.000
134,65.5,18.8,1.55,2021-04-22T11:13:39.000
135,69.5,18.2,1.35,2021-04-22T11:18:40.000
136,65.0,18.7,1.13,2021-04-22T11:23:40.000
137,62.0,19.2,1.11,2021-04-22T11:28:40.000
138,65.5,19.1,1.4,2021-04-22T11:33:40.000
139,65.5,19.1,1.04,2021-04-22T11:38:40.000
140,66.5,19.8,1.53,2021-04-22T11:43:40.000
141,63.0,19.9,2.9,2021-04-22T11:48:40.000
142,60.5,19.9,2.92,2021-04-22T11:53:41.000
143,62.0,20.1,2.02,2021-04-22T11:58:41.000
144,64.0,19.4,1.74,2021-04-22T12:03:41.000
