Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 20:26:08;37,35415;-6,035898;65;1,72;7,3;6;42;1
20/02/14 20:26:09;37,354148;-6,035927;64,9;2,51;10,7;6;137;1
20/02/14 20:26:10;37,35414;-6,035958;64,7;2,95;10,7;6;105;1
20/02/14 20:26:11;37,35412;-6,035987;64,7;3,35;12;6;175;1
20/02/14 20:26:12;37,354095;-6,03601;64,8;3,46;12,5;6;53;1
20/02/14 20:26:13;37,354065;-6,03603;64,9;3,78;13,2;6;174;1
20/02/14 20:26:14;37,354032;-6,036048;65;4,05;14,6;6;78;1
20/02/14 20:26:15;37,353997;-6,03607;65,2;4,34;14,6;7;99;1
20/02/14 20:26:16;37,35396;-6,036092;65,4;4,51;15,1;7;110;1
20/02/14 20:26:17;37,353925;-6,036112;65,6;4,28;15;7;44;1
20/02/14 20:26:18;37,35389;-6,036132;65,7;4,28;15;7;68;1
20/02/14 20:26:19;37,353857;-6,036153;65,8;4,17;14,8;7;128;1
20/02/14 20:26:20;37,353822;-6,036175;66;4,34;14,8;8;54;1
20/02/14 20:26:21;37,353787;-6,036197;66,2;4,34;15,5;8;20;1
20/02/14 20:26:22;37,35375;-6,036218;66,5;4,51;16;8;19;1
20/02/14 20:26:23;37,353713;-6,036242;66,8;4,57;16;8;47;1
20/02/14 20:26:24;37,353677;-6,036265;67,1;4,57;16,2;8;55;1
20/02/14 20:26:25;37,353638;-6,03629;67,3;4,8;16,2;8;42;1
20/02/14 20:26:26;37,3536;-6,036313;67,7;4,74;16,4;8;26;1
20/02/14 20:26:27;37,353562;-6,036337;68;4,74;16,9;8;20;1
20/02/14 20:26:28;37,353523;-6,036362;68,3;4,81;16,9;8;21;1
20/02/14 20:26:29;37,353487;-6,036387;68,5;4,64;17;8;22;1
20/02/14 20:26:30;37,353447;-6,036412;68,7;4,97;17;8;38;1
20/02/14 20:26:31;37,353408;-6,036437;69;4,81;17,1;8;53;1
20/02/14 20:26:32;37,35337;-6,036462;69,2;4,81;17,3;8;46;1
20/02/14 20:26:33;37,353332;-6,036487;69,4;4,8;17,4;8;35;1
20/02/14 20:26:34;37,353292;-6,036513;69,7;5,04;17,7;8;20;1
20/02/14 20:26:35;37,353252;-6,036538;69,9;4,97;17,7;8;21;1
20/02/14 20:26:36;37,35321;-6,036565;70,1;5,2;18,5;8;44;1
20/02/14 20:26:37;37,353168;-6,036592;70,5;5,2;19;8;54;1
20/02/14 20:26:38;37,353125;-6,036618;70,8;5,37;19;8;31;1
20/02/14 20:26:39;37,353082;-6,036645;71;5,37;19,3;8;26;1
20/02/14 20:26:40;37,353037;-6,036672;71,2;5,53;19,3;8;27;1
20/02/14 20:26:41;37,352992;-6,036698;71,5;5,53;19,8;8;22;1
20/02/14 20:26:42;37,352947;-6,036723;71,7;5,47;19,6;8;22;1
20/02/14 20:26:43;37,352903;-6,036748;71,9;5,31;19;8;29;1
20/02/14 20:26:44;37,35286;-6,036772;72;5,24;17,9;8;19;1
20/02/14 20:26:45;37,352822;-6,036795;72,2;4,74;17,9;8;13;1
20/02/14 20:26:46;37,352783;-6,036815;72,2;4,62;16,1;8;11;1
20/02/14 20:26:47;37,352745;-6,036835;72,2;4,62;16,7;8;11;1
20/02/14 20:26:48;37,352705;-6,036857;72,1;4,85;18,2;8;13;1
20/02/14 20:26:49;37,352662;-6,03688;72;5,25;19,7;8;20;1
20/02/14 20:26:50;37,352613;-6,036903;71,8;5,76;19,7;8;13;1
20/02/14 20:26:51;37,352565;-6,036928;71,6;5,82;21,4;8;12;1
20/02/14 20:26:52;37,352515;-6,036955;71,4;6,04;21,7;8;13;1
