Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 20:49:10;37,347267;-6,036555;67,6;4,48;17,6;8;42;1
20/02/14 20:49:11;37,347235;-6,036537;67,6;3,88;12,5;8;29;1
20/02/14 20:49:12;37,347205;-6,036523;67,8;3,54;12,3;8;16;1
20/02/14 20:49:14;37,347143;-6,036527;67,5;6,87;12,1;8;8;1
20/02/14 20:49:15;37,347115;-6,03654;67,5;3,37;12,1;9;3;1
20/02/14 20:49:16;37,347087;-6,03656;67,7;3,62;12,3;9;4;1
20/02/14 20:49:17;37,34706;-6,036583;67,7;3,61;12,9;9;4;1
20/02/14 20:49:18;37,347033;-6,036607;67,7;3,61;12,9;9;2;1
20/02/14 20:49:19;37,347007;-6,03663;67,7;3,61;12,8;9;1;1
20/02/14 20:49:20;37,346978;-6,036653;67,9;3,77;12,8;9;1;1
20/02/14 20:49:21;37,346953;-6,036675;68;3,38;12,7;9;2;1
20/02/14 20:49:22;37,346925;-6,036698;68,2;3,77;12,8;9;2;1
20/02/14 20:49:23;37,346898;-6,036722;68,2;3,62;12,7;9;1;1
20/02/14 20:49:24;37,346872;-6,036743;68,3;3,54;12,9;9;1;1
20/02/14 20:49:25;37,346843;-6,036765;68,3;3,69;12,9;9;2;1
20/02/14 20:49:26;37,346815;-6,036785;68,4;3,62;12,8;9;5;1
20/02/14 20:49:27;37,346787;-6,036807;68,3;3,69;12,9;9;2;1
20/02/14 20:49:28;37,346758;-6,036827;68,3;3,62;13,3;9;1;1
20/02/14 20:49:29;37,34673;-6,03685;68,2;3,77;14;9;2;1
20/02/14 20:49:30;37,3467;-6,036873;68,1;3,92;14;8;8;1
20/02/14 20:49:31;37,34667;-6,036897;68;3,92;13,4;8;4;1
20/02/14 20:49:32;37,346642;-6,03692;67,9;3,77;14;8;1;1
20/02/14 20:49:33;37,346612;-6,036945;67,8;4;14,6;8;2;1
20/02/14 20:49:34;37,34658;-6,036973;67,6;4,33;15,3;8;4;1
20/02/14 20:49:35;37,346548;-6,037002;67,5;4,33;15,3;8;2;1
20/02/14 20:49:36;37,346515;-6,037032;67,3;4,56;16,6;8;1;1
20/02/14 20:49:37;37,34648;-6,03706;67,1;4,63;16,4;8;2;1
20/02/14 20:49:38;37,346447;-6,037088;66,9;4,48;15,9;8;3;1
20/02/14 20:49:39;37,346412;-6,037117;66,8;4,63;16;8;1;1
20/02/14 20:49:40;37,346378;-6,037143;66,6;4,4;16;8;1;1
20/02/14 20:49:41;37,346343;-6,037172;66,4;4,63;16,4;8;2;1
20/02/14 20:49:42;37,346308;-6,0372;66,3;4,63;16,5;8;1;1
20/02/14 20:49:43;37,346273;-6,037228;66,2;4,63;16,2;8;1;1
20/02/14 20:49:44;37,346238;-6,037257;66,1;4,63;16;8;2;1
20/02/14 20:49:45;37,346205;-6,037283;66;4,4;16;8;2;1
20/02/14 20:49:46;37,346172;-6,037312;65,9;4,48;15,6;8;1;1
20/02/14 20:49:47;37,346138;-6,037338;65,9;4,4;15,6;8;1;1
20/02/14 20:49:48;37,346105;-6,037365;65,9;4,4;15,6;8;2;1
20/02/14 20:49:49;37,346072;-6,037392;66;4,4;15,4;8;2;1
20/02/14 20:49:50;37,34604;-6,037417;65,9;4,16;15,4;8;1;1
20/02/14 20:49:51;37,346008;-6,037442;65,9;4,16;14,8;8;1;1
20/02/14 20:49:52;37,345977;-6,037465;65,9;4,08;14,5;8;3;1
20/02/14 20:49:53;37,345945;-6,037487;65,9;4,01;14,1;9;3;1
20/02/14 20:49:55;37,34589;-6,03753;65,9;7,22;12,8;9;1;1
20/02/14 20:49:56;37,345863;-6,037552;65,9;3,53;12,4;9;3;1
20/02/14 20:49:57;37,34584;-6,037572;65,8;3,14;10;9;4;1
20/02/14 20:49:58;37,345825;-6,037583;65,8;1,97;8,8;9;4;1
