Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 20:36:32;37,35154;-6,047192;72,2;1,49;1,5;9;210;1
20/02/14 20:36:33;37,35156;-6,047193;72,2;2,23;3,8;9;114;1
20/02/14 20:36:34;37,351587;-6,047192;72,3;2,97;6,6;9;8;1
20/02/14 20:36:35;37,351617;-6,047185;72,3;3,39;11,7;9;9;1
20/02/14 20:36:36;37,351647;-6,047175;72,3;3,45;12,2;9;0;0
20/02/14 20:36:37;37,35168;-6,04716;72,3;3,94;13,3;9;8;1
20/02/14 20:36:38;37,351713;-6,047138;72,3;4,18;15;9;12;1
20/02/14 20:36:39;37,351743;-6,047113;72,2;4;15;9;20;1
20/02/14 20:36:40;37,351772;-6,047087;72;3,94;14,5;9;38;1
20/02/14 20:36:41;37,351798;-6,047058;71,9;3,88;14,4;9;57;1
20/02/14 20:36:42;37,351827;-6,047025;71,8;4,32;15,4;9;32;1
20/02/14 20:36:43;37,351857;-6,046992;71,6;4,46;16,6;9;19;1
20/02/14 20:36:44;37,351888;-6,046955;71,5;4,79;17,6;9;13;1
20/02/14 20:36:46;37,351953;-6,046878;71,2;9,92;17,6;9;29;1
20/02/14 20:36:47;37,351985;-6,04684;71;4,89;17,4;9;74;1
20/02/14 20:36:48;37,352017;-6,046803;70,9;4,79;16,9;9;54;1
20/02/14 20:36:49;37,35205;-6,046767;70,8;4,93;17,5;9;28;1
20/02/14 20:36:50;37,352082;-6,04673;70,8;4,79;17,5;9;16;1
20/02/14 20:36:51;37,352113;-6,046688;70,7;5,1;18,6;9;12;1
20/02/14 20:36:52;37,352148;-6,046647;70,9;5,36;19,3;9;11;1
20/02/14 20:36:53;37,352183;-6,046602;71,1;5,57;20,1;9;5;1
20/02/14 20:36:54;37,352218;-6,046555;71,1;5,68;20,6;9;31;1
20/02/14 20:36:55;37,352253;-6,046507;71;5,78;20,6;9;11;1
20/02/14 20:36:56;37,35229;-6,046458;71;5,91;21,6;9;3;1
20/02/14 20:36:57;37,352328;-6,046408;70,9;6,15;21,8;9;4;1
20/02/14 20:36:58;37,352367;-6,046358;70,9;6,15;22;9;9;1
20/02/14 20:36:59;37,352403;-6,046307;70,9;6,13;22,2;9;11;1
20/02/14 20:37:00;37,35244;-6,046253;70,9;6,24;22,2;9;27;1
20/02/14 20:37:01;37,352473;-6,046202;70,9;5,89;21,5;9;12;1
20/02/14 20:37:02;37,352508;-6,046148;71;6,12;21,4;9;17;1
20/02/14 20:37:03;37,352542;-6,046097;71;5,89;21,4;9;17;1
20/02/14 20:37:04;37,352575;-6,046042;70,9;6,12;22;9;12;1
20/02/14 20:37:05;37,352608;-6,045987;71;6,12;22;9;36;1
20/02/14 20:37:06;37,352642;-6,045932;71;6,12;22,1;9;9;1
20/02/14 20:37:07;37,352673;-6,045875;70,9;6,13;21,9;9;4;1
20/02/14 20:37:08;37,35271;-6,045815;70,8;6,7;22,1;9;5;1
20/02/14 20:37:09;37,352745;-6,045758;70,7;6,35;21,9;9;10;1
20/02/14 20:37:10;37,352782;-6,045703;70,6;6,35;21,9;9;27;1
20/02/14 20:37:11;37,352817;-6,045648;70,6;6,23;22,1;9;19;1
20/02/14 20:37:12;37,352852;-6,045592;70,5;6,35;22,3;9;11;1
20/02/14 20:37:13;37,352885;-6,045533;70,5;6,36;22,5;9;10;1
20/02/14 20:37:14;37,35292;-6,045477;70,5;6,35;22,3;9;11;1
20/02/14 20:37:15;37,352955;-6,045418;70,6;6,47;22,3;9;11;1
20/02/14 20:37:16;37,352988;-6,045363;70,8;6,12;22,6;9;8;1
20/02/14 20:37:17;37,353023;-6,045308;70,9;6,23;21,7;9;4;1
20/02/14 20:37:18;37,353058;-6,045257;71;6,01;21,4;9;2;1
20/02/14 20:37:19;37,353095;-6,04521;71,2;5,81;20,9;9;5;1
20/02/14 20:37:20;37,35313;-6,045162;71,4;5,78;20,9;9;14;1
20/02/14 20:37:21;37,35316;-6,045113;71,5;5,42;19,2;9;51;1
20/02/14 20:37:22;37,353188;-6,045072;71,7;4,85;15,8;9;36;1
20/02/14 20:37:23;37,35321;-6,04504;72;3,7;11,6;9;13;1
20/02/14 20:37:24;37,353227;-6,045012;72,3;3,12;11,4;9;12;1
20/02/14 20:37:25;37,353245;-6,044983;72,6;3,23;11,4;8;10;1
