Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 20:01:40;37,342822;-6,037435;34,1;3,69;12,9;9;84;1
20/02/14 20:01:41;37,342793;-6,037457;34,2;3,69;12;9;83;1
20/02/14 20:01:42;37,34277;-6,037475;34,9;3,06;11,4;9;35;1
20/02/14 20:01:43;37,342755;-6,037493;35,5;2,33;9,8;8;16;1
20/02/14 20:01:44;37,342743;-6,037515;36;2,32;8,5;8;8;1
20/02/14 20:01:45;37,342738;-6,03754;36,4;2,28;8,5;8;3;1
20/02/14 20:01:46;37,342742;-6,037573;36,8;2,97;11,7;8;1;1
20/02/14 20:01:47;37,342748;-6,037612;36,7;3,47;13,9;8;0;1
20/02/14 20:01:48;37,34276;-6,037655;36,6;4,05;14,4;8;0;1
20/02/14 20:01:49;37,342773;-6,037698;36,4;4,11;14,9;8;0;1
20/02/14 20:01:50;37,342787;-6,037745;35,8;4,39;14,9;8;0;1
20/02/14 20:01:51;37,3428;-6,037792;35,2;4,39;16,1;8;0;1
20/02/14 20:01:52;37,342815;-6,037842;34,6;4,73;16,4;8;1;1
20/02/14 20:01:53;37,342827;-6,03789;34,3;4,47;16,2;8;1;1
20/02/14 20:01:54;37,34284;-6,037942;34,1;4,81;16,8;8;2;1
20/02/14 20:01:56;37,342867;-6,038045;33,6;9,61;17,9;8;50;1
20/02/14 20:01:57;37,342882;-6,038098;33,5;5;18,5;8;2;1
20/02/14 20:01:58;37,342897;-6,038157;33,2;5,43;19,5;8;0;1
20/02/14 20:01:59;37,34291;-6,038215;32,9;5,37;19,5;8;0;1
20/02/14 20:02:00;37,342927;-6,038275;32,6;5,63;19,5;8;0;1
20/02/14 20:02:01;37,342942;-6,038333;32,4;5,43;19,3;8;0;1
20/02/14 20:02:02;37,342957;-6,038392;32,2;5,43;18,9;9;1;1
20/02/14 20:02:03;37,342972;-6,038447;32;5,15;18,8;9;3;1
20/02/14 20:02:04;37,342988;-6,038505;31,8;5,49;19;9;9;1
20/02/14 20:02:05;37,343003;-6,038562;31,7;5,28;19;9;1;1
20/02/14 20:02:06;37,343015;-6,03862;31,6;5,32;18,6;8;0;1
20/02/14 20:02:07;37,343025;-6,038677;31,6;5,14;18,2;8;0;1
20/02/14 20:02:08;37,343032;-6,038735;31,6;5,21;18,2;8;1;1
20/02/14 20:02:09;37,343037;-6,038793;31,7;5,19;18,2;8;1;1
20/02/14 20:02:10;37,343042;-6,03885;31,4;5,04;18,2;8;3;1
20/02/14 20:02:12;37,343048;-6,038968;31,5;10,5;18,6;9;1;1
