Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
26/02/14 20:58:08;37,354018;-6,045448;-14,9;4,04;13,5;9;19;1
26/02/14 20:58:09;37,353992;-6,045485;-14;4,4;15,7;9;19;1
26/02/14 20:58:10;37,353963;-6,045525;-13,1;4,74;17;9;11;1
26/02/14 20:58:11;37,353935;-6,04557;-11,4;5,08;17,8;9;5;1
26/02/14 20:58:12;37,35391;-6,045618;-10,1;5,1;18,1;9;3;1
26/02/14 20:58:13;37,353888;-6,045668;-9,1;5,04;18,1;9;8;1
26/02/14 20:58:14;37,353868;-6,04572;-8,3;5,08;18,7;9;27;1
26/02/14 20:58:15;37,353852;-6,045773;-7,3;5,07;18,8;9;59;1
26/02/14 20:58:16;37,353835;-6,045832;-6,7;5,48;18,8;9;56;1
26/02/14 20:58:17;37,353818;-6,045885;-5,4;5,07;18,6;9;17;1
26/02/14 20:58:18;37,353803;-6,045938;-4,2;5,01;18,6;9;3;1
26/02/14 20:58:19;37,353785;-6,045992;-3;5,14;18,1;9;3;1
26/02/14 20:58:20;37,353767;-6,046043;-1,8;5;18,1;9;8;1
26/02/14 20:58:21;37,353757;-6,046095;-0,8;4,7;18,4;9;11;1
26/02/14 20:58:22;37,353747;-6,046147;-0,1;4,7;18,9;9;9;1
26/02/14 20:58:23;37,353732;-6,046203;1,3;5,28;18,9;9;4;1
26/02/14 20:58:24;37,353717;-6,04626;2,2;5,28;19,6;9;9;1
26/02/14 20:58:25;37,3537;-6,046318;3,2;5,48;19,9;9;26;1
26/02/14 20:58:26;37,353682;-6,046378;4,3;5,69;20,2;9;75;1
26/02/14 20:58:27;37,353667;-6,046437;5,2;5,42;20,7;9;56;1
26/02/14 20:58:28;37,353645;-6,0465;6,4;6,1;20,7;9;12;1
26/02/14 20:58:29;37,35362;-6,046563;7,8;6,26;22;9;8;1
26/02/14 20:58:30;37,353592;-6,04663;9,2;6,69;22,4;8;8;1
26/02/14 20:58:31;37,353563;-6,046698;10,7;6,82;22,9;8;20;1
26/02/14 20:58:33;37,35351;-6,04683;13,5;13,07;22,2;9;29;1
26/02/14 20:58:34;37,353485;-6,046893;14,5;6,26;21;9;9;1
26/02/14 20:58:35;37,35346;-6,046955;15,6;6,12;20,8;9;7;1
26/02/14 20:58:36;37,353437;-6,047015;16,6;5,91;19,7;9;10;1
26/02/14 20:58:37;37,353415;-6,047072;17,7;5,56;17,7;9;9;1
26/02/14 20:58:38;37,353393;-6,047123;18,7;5,17;17,7;9;8;1
26/02/14 20:58:39;37,353373;-6,047172;19,5;4,82;16,3;9;14;1
26/02/14 20:58:41;37,353335;-6,047265;21,2;9,29;15,4;9;48;1
26/02/14 20:58:42;37,353315;-6,047312;22;4,69;15,9;9;37;1
26/02/14 20:58:43;37,353295;-6,04736;23,2;4,82;15,9;9;11;1
26/02/14 20:58:44;37,353275;-6,04741;24,3;4,95;17,2;8;5;1
26/02/14 20:58:46;37,353233;-6,047515;26,4;10,38;17,8;8;5;1
26/02/14 20:58:47;37,353213;-6,047568;26,8;5,22;17,9;9;3;1
26/02/14 20:58:48;37,353195;-6,047622;26,8;5,14;17,9;9;1;1
26/02/14 20:58:49;37,353175;-6,047673;26,7;5,08;17,3;9;0;1
26/02/14 20:58:50;37,353158;-6,047723;26,9;4,8;16;9;0;1
