Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 20:29:06;37,346568;-6,040765;69,9;4,26;14,6;9;27;1
20/02/14 20:29:07;37,346558;-6,040717;69,8;4,42;15,5;9;22;1
20/02/14 20:29:08;37,346553;-6,040663;69,6;4,75;16,4;8;13;1
20/02/14 20:29:09;37,34655;-6,040593;69,5;6,21;17,1;8;9;1
20/02/14 20:29:10;37,346542;-6,040535;69,3;5,24;17,6;8;7;1
20/02/14 20:29:11;37,346542;-6,040535;69,3;0;17,7;8;9;1
20/02/14 20:29:12;37,346512;-6,040427;68,8;10,15;17,9;8;21;1
20/02/14 20:29:13;37,346488;-6,040377;68,7;5,13;18;9;28;1
20/02/14 20:29:14;37,346463;-6,040327;68,5;5,23;18,2;9;14;1
20/02/14 20:29:15;37,346437;-6,040278;68,4;5,21;18,4;8;17;1
20/02/14 20:29:16;37,346437;-6,040278;68,4;0;18,4;8;22;1
20/02/14 20:29:17;37,346385;-6,040187;68,2;9,94;17,4;8;7;1
20/02/14 20:29:18;37,346363;-6,04014;68,2;4,78;16,3;9;14;1
20/02/14 20:29:19;37,346342;-6,0401;68;4,28;15,8;9;16;1
20/02/14 20:29:20;37,34632;-6,040058;67,9;4,41;15,8;9;24;1
20/02/14 20:29:21;37,346297;-6,040017;67,7;4,51;16,4;9;24;1
20/02/14 20:29:22;37,346275;-6,039973;67,6;4,53;16,7;9;17;1
20/02/14 20:29:23;37,346253;-6,039927;67,5;4,78;16,6;9;22;1
20/02/14 20:29:24;37,346232;-6,039883;67,4;4,53;16,5;9;28;1
20/02/14 20:29:25;37,34621;-6,03984;67,3;4,53;16,5;9;28;1
20/02/14 20:29:27;37,346165;-6,039748;67,1;9,53;17,7;8;11;1
20/02/14 20:29:28;37,34614;-6,0397;67,1;5,1;18;8;12;1
20/02/14 20:29:29;37,346115;-6,039652;67,1;5,1;18,4;8;17;1
20/02/14 20:29:30;37,34609;-6,039603;67;5,1;18,4;8;24;1
20/02/14 20:29:31;37,346065;-6,039553;67;5,23;19;7;14;1
20/02/14 20:29:32;37,346038;-6,039502;67,1;5,45;19,3;8;14;1
20/02/14 20:29:33;37,346012;-6,03945;67;5,45;19,5;8;21;1
20/02/14 20:29:34;37,345987;-6,039397;67;5,48;19,7;8;29;1
20/02/14 20:29:35;37,345968;-6,039338;65,1;5,55;19,7;8;12;1
20/02/14 20:29:36;37,34595;-6,03928;63,9;5,55;20,9;7;9;1
20/02/14 20:29:37;37,34593;-6,039222;63,5;5,62;20,2;8;12;1
20/02/14 20:29:38;37,345912;-6,039165;63,1;5,41;19,5;9;21;1
20/02/14 20:29:39;37,345893;-6,039108;63;5,41;19,7;9;28;1
20/02/14 20:29:40;37,345877;-6,039047;62,6;5,76;19,7;9;14;1
20/02/14 20:29:41;37,345862;-6,038988;62,6;5,42;20,1;7;17;1
20/02/14 20:29:43;37,345833;-6,038865;62,1;11,36;20,6;5;27;1
20/02/14 20:29:44;37,345823;-6,038802;61,5;5,71;20,6;6;17;1
20/02/14 20:29:45;37,345813;-6,038738;61,3;5,71;20,6;8;22;1
20/02/14 20:29:46;37,345805;-6,038672;61,4;5,97;21,5;9;30;1
20/02/14 20:29:47;37,345798;-6,038605;61,4;5,95;21,3;9;21;1
20/02/14 20:29:48;37,345792;-6,03854;61,3;5,8;21;9;22;1
20/02/14 20:29:49;37,345788;-6,038477;61,2;5,62;20,4;9;40;1
20/02/14 20:29:50;37,345783;-6,038413;61,1;5,63;20,4;9;34;1
