Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
27/02/14 20:04:35;37,344137;-6,045625;53,7;2,37;8,6;9;12;1
27/02/14 20:04:36;37,344145;-6,0456;53,7;2,4;8,6;9;13;1
27/02/14 20:04:37;37,34416;-6,045578;53,8;2,54;9,1;9;13;1
27/02/14 20:04:38;37,344178;-6,045558;53,7;2,7;10;9;13;1
27/02/14 20:04:39;37,3442;-6,04554;53,7;2,91;10;9;12;1
27/02/14 20:04:40;37,344223;-6,045522;53,8;3,06;11;9;12;1
27/02/14 20:04:41;37,344248;-6,045503;53,9;3,22;11,8;9;11;1
27/02/14 20:04:42;37,344275;-6,045483;54,1;3,46;12,5;9;10;1
27/02/14 20:04:43;37,344302;-6,045463;54,1;3,46;12,9;9;10;1
27/02/14 20:04:44;37,344328;-6,04544;54;3,62;12,9;9;10;1
27/02/14 20:04:45;37,344355;-6,045418;54;3,53;13,1;9;10;1
27/02/14 20:04:46;37,344382;-6,045395;54;3,61;13,4;9;12;1
27/02/14 20:04:47;37,344408;-6,045372;54;3,61;13,6;9;16;1
27/02/14 20:04:48;37,344438;-6,045348;54,2;3,92;13,9;9;16;1
27/02/14 20:04:49;37,344468;-6,045325;54,4;3,92;13,9;9;16;1
27/02/14 20:04:50;37,344498;-6,045302;54,6;3,92;13,9;8;16;1
27/02/14 20:04:51;37,344528;-6,045278;54,8;3,92;13,9;8;16;1
27/02/14 20:04:52;37,344558;-6,045255;54,9;3,92;13,9;8;17;1
27/02/14 20:04:53;37,344588;-6,045233;55,1;3,85;13,7;8;19;1
27/02/14 20:04:54;37,344618;-6,04521;55,3;3,92;13,7;8;14;1
27/02/14 20:04:55;37,344648;-6,045188;55,5;3,85;13,9;8;14;1
27/02/14 20:04:56;37,344678;-6,045165;55,7;3,92;14,1;8;13;1
27/02/14 20:04:57;37,34471;-6,045142;55,8;4,09;14,4;9;13;1
27/02/14 20:04:58;37,344742;-6,04512;55,9;4,01;14,3;9;12;1
27/02/14 20:04:59;37,344773;-6,045098;56;4,01;14,3;8;13;1
27/02/14 20:05:01;37,344837;-6,045055;56,1;8,02;14,7;9;11;1
27/02/14 20:05:02;37,344868;-6,045035;56,1;3,94;14,5;9;11;1
27/02/14 20:05:03;37,344903;-6,045017;56,3;4,22;14,7;9;11;1
27/02/14 20:05:04;37,344938;-6,044998;56,3;4,22;14,7;9;12;1
