Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
26/02/14 20:43:26;37,356967;-6,046585;97,2;2,54;10,4;8;41;1
26/02/14 20:43:27;37,356967;-6,04655;97,2;3,1;12,3;8;73;1
26/02/14 20:43:28;37,356977;-6,046513;97,3;3,43;12,3;7;32;1
26/02/14 20:43:29;37,35699;-6,046477;97,4;3,57;13;7;19;1
26/02/14 20:43:30;37,357008;-6,046442;97,7;3,71;13,3;8;1;1
26/02/14 20:43:31;37,357028;-6,04641;97,9;3,58;13,3;9;1;1
26/02/14 20:43:32;37,357052;-6,046375;98;4,04;14,5;9;2;1
26/02/14 20:43:33;37,357075;-6,046338;98,1;4,15;14,5;9;1;1
26/02/14 20:43:34;37,357098;-6,046298;98;4,39;16,1;9;0;1
26/02/14 20:43:35;37,357123;-6,04626;98;4,39;15,8;8;1;1
26/02/14 20:43:36;37,357147;-6,046222;98;4,27;15;8;2;1
26/02/14 20:43:37;37,35717;-6,046185;97,9;4,15;14,6;9;3;1
26/02/14 20:43:38;37,357193;-6,046152;97,9;3,93;14,6;9;5;1
26/02/14 20:43:39;37,357213;-6,046118;97,9;3,7;12,8;9;3;1
26/02/14 20:43:40;37,357232;-6,046085;97,8;3,59;13;9;0;1
26/02/14 20:43:41;37,35725;-6,046053;97,7;3,46;12,6;9;0;1
26/02/14 20:43:42;37,357268;-6,046018;97,3;3,71;13,6;8;0;1
26/02/14 20:43:43;37,357288;-6,045982;96,8;3,93;13,6;10;0;1
26/02/14 20:43:44;37,357308;-6,045943;97;4,06;14;10;3;1
26/02/14 20:43:45;37,357328;-6,045903;96,8;4,18;14,8;10;3;1
26/02/14 20:43:46;37,357345;-6,045862;96,5;4,13;15,4;10;2;1
26/02/14 20:43:47;37,357367;-6,045817;96,3;4,65;16;9;0;1
26/02/14 20:43:48;37,357385;-6,04577;96,1;4,6;16;10;0;1
26/02/14 20:43:49;37,357403;-6,045722;95,9;4,74;16,8;10;0;1
26/02/14 20:43:50;37,35742;-6,045673;95,6;4,66;17,3;9;1;1
26/02/14 20:43:51;37,357438;-6,045622;95,4;5,01;18;8;1;1
26/02/14 20:43:52;37,357455;-6,04557;95,2;4,93;17,6;8;2;1
26/02/14 20:43:53;37,357473;-6,045518;95,1;5;17,6;10;9;1
26/02/14 20:43:54;37,35749;-6,045468;95;4,79;17;10;2;1
26/02/14 20:43:55;37,357508;-6,04542;95;4,74;16,9;10;0;1
26/02/14 20:43:56;37,357523;-6,04537;95;4,73;16,5;10;0;1
26/02/14 20:43:57;37,357538;-6,045322;94,9;4,59;16,7;10;0;1
26/02/14 20:43:58;37,357553;-6,045272;94,9;4,73;16,7;10;1;1
26/02/14 20:43:59;37,357568;-6,045222;94,8;4,73;16,7;10;1;1
26/02/14 20:44:00;37,357583;-6,045173;94,7;4,59;16,3;10;2;1
26/02/14 20:44:01;37,357598;-6,045125;94,6;4,59;15,8;10;3;1
26/02/14 20:44:02;37,357612;-6,04508;94,6;4,25;15,1;10;7;1
26/02/14 20:44:03;37,357625;-6,045038;94,7;3,97;15,1;10;14;1
26/02/14 20:44:04;37,35764;-6,045003;94,7;3,52;12,8;10;11;1
26/02/14 20:44:05;37,357657;-6,044968;94,6;3,61;13,2;10;3;1
26/02/14 20:44:06;37,357672;-6,04493;94,5;3,78;14,2;10;1;1
26/02/14 20:44:07;37,357687;-6,044887;94,4;4,18;15,2;9;0;1
26/02/14 20:44:08;37,3577;-6,04484;94,3;4,39;15,2;9;1;1
26/02/14 20:44:09;37,357715;-6,04479;94,3;4,73;17,1;10;2;1
26/02/14 20:44:10;37,35773;-6,044738;94,2;4,87;17,8;9;4;1
26/02/14 20:44:11;37,357745;-6,044685;94,1;5;18,4;9;1;1
26/02/14 20:44:12;37,35776;-6,044628;94;5,28;19;10;2;1
26/02/14 20:44:13;37,357778;-6,044573;94,1;5,28;19;10;4;1
26/02/14 20:44:14;37,357795;-6,044518;94;5,21;18,4;9;9;1
26/02/14 20:44:15;37,357812;-6,044457;93,7;5,76;18,7;10;1;1
26/02/14 20:44:16;37,357847;-6,044403;93,8;6,12;18,7;10;3;1
26/02/14 20:44:17;37,357863;-6,044343;93,6;5,62;18,4;10;10;1
26/02/14 20:44:18;37,357868;-6,04429;93,3;4,75;18,4;10;3;1
26/02/14 20:44:19;37,357903;-6,044237;93,4;6,12;19,2;10;2;1
26/02/14 20:44:20;37,357912;-6,044175;92,9;5,53;19,9;9;3;1
26/02/14 20:44:21;37,35794;-6,044113;92,7;6,3;20,3;9;4;1
26/02/14 20:44:22;37,357962;-6,044053;92,3;5,83;19,8;9;1;1
26/02/14 20:44:23;37,357978;-6,044;91,9;5,07;19,8;9;1;1
26/02/14 20:44:24;37,357993;-6,04395;91,2;4,73;18,3;9;13;1
26/02/14 20:44:25;37,358007;-6,043898;90,8;4,81;18,2;9;2;1
26/02/14 20:44:26;37,358027;-6,043847;90,4;5,08;17,5;9;7;1
26/02/14 20:44:27;37,358043;-6,0438;89,9;4,53;17,3;9;7;1
26/02/14 20:44:28;37,358063;-6,043752;89,6;4,82;17,3;9;1;1
26/02/14 20:44:29;37,358083;-6,043705;89,3;4,69;16,3;9;1;1
26/02/14 20:44:30;37,358105;-6,04366;89;4,65;15,7;9;2;1
26/02/14 20:44:31;37,358122;-6,043618;88,5;4,13;15,3;8;3;1
26/02/14 20:44:32;37,35814;-6,043577;88,3;4,22;15,5;9;8;1
26/02/14 20:44:33;37,358158;-6,043533;87,8;4,34;16,2;8;4;1
26/02/14 20:44:34;37,358173;-6,043488;87,4;4,32;16,1;8;4;1
26/02/14 20:44:35;37,358193;-6,043443;87,3;4,56;15,5;8;11;1
26/02/14 20:44:36;37,35821;-6,0434;87,1;4,26;15,8;8;35;1
26/02/14 20:44:37;37,358227;-6,043355;86,7;4,39;16,5;9;4;1
26/02/14 20:44:38;37,35825;-6,043308;86,5;4,88;16,5;9;2;1
