Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
27/02/14 20:01:05;37,345072;-6,04664;52,6;2,86;10,7;8;9;1
27/02/14 20:01:06;37,345068;-6,04661;52,5;2,68;9,8;8;12;1
27/02/14 20:01:07;37,34507;-6,046578;52,5;2,81;9,8;8;20;1
27/02/14 20:01:08;37,34508;-6,046548;52,4;2,88;10,6;8;28;1
27/02/14 20:01:09;37,345097;-6,046522;52,4;3;10,6;8;34;1
27/02/14 20:01:10;37,345122;-6,046498;52,4;3,46;13,3;8;20;1
27/02/14 20:01:11;37,345153;-6,046478;52,4;3,95;14,8;8;10;1
27/02/14 20:01:12;37,345187;-6,046465;52,6;3,89;13,4;8;8;1
27/02/14 20:01:13;37,345218;-6,046452;52,6;3,72;13,1;8;8;1
27/02/14 20:01:14;37,345252;-6,04644;52,7;3,85;13,1;8;10;1
27/02/14 20:01:15;37,345287;-6,046427;53;4,07;14,8;8;14;1
27/02/14 20:01:16;37,345327;-6,046413;52,8;4,6;14,7;8;12;1
27/02/14 20:01:17;37,345365;-6,0464;52,6;4,43;14,6;8;10;1
27/02/14 20:01:18;37,345402;-6,046387;52,6;4,25;14,4;8;8;1
27/02/14 20:01:19;37,345435;-6,046373;53;3,89;14,4;8;7;1
27/02/14 20:01:21;37,3455;-6,046348;53,8;7,56;13,3;8;12;1
27/02/14 20:01:22;37,345532;-6,046335;53,9;3,72;13,5;8;20;1
27/02/14 20:01:23;37,345565;-6,04632;54,2;3,94;14,4;8;31;1
27/02/14 20:01:24;37,345597;-6,046297;55;4,09;14,8;7;36;1
27/02/14 20:01:25;37,345667;-6,046292;56,8;7,8;14,4;7;21;1
27/02/14 20:01:26;37,345717;-6,046285;59;5,6;14,3;8;8;1
27/02/14 20:01:27;37,345753;-6,04627;61,5;4,29;14;8;3;1
27/02/14 20:01:28;37,345782;-6,046253;63,2;3,48;14,1;8;2;1
27/02/14 20:01:29;37,345822;-6,04624;64,6;4,6;14,1;8;2;1
27/02/14 20:01:30;37,345862;-6,046228;66;4,57;16,6;8;2;1
27/02/14 20:01:31;37,345893;-6,046213;67,7;3,77;14,5;8;3;1
27/02/14 20:01:32;37,345927;-6,0462;69,2;3,89;13,5;8;3;1
27/02/14 20:01:33;37,345953;-6,046183;70,6;3,31;13,3;8;3;1
27/02/14 20:01:34;37,345985;-6,046168;72;3,77;13,3;8;5;1
27/02/14 20:01:35;37,346017;-6,046155;73,8;3,72;13,5;8;7;1
27/02/14 20:01:36;37,346053;-6,046143;74,8;4,21;14;8;9;1
