Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
26/02/14 21:13:26;37,347272;-6,047628;76,4;1,03;2,4;8;28;1
26/02/14 21:13:27;37,347255;-6,047623;76,3;1,91;5,1;8;26;1
26/02/14 21:13:28;37,347235;-6,04761;76,2;2,52;5,1;8;27;1
26/02/14 21:13:29;37,347218;-6,047583;75,9;3;12,4;8;21;1
26/02/14 21:13:30;37,347203;-6,047545;75,7;3,78;14;8;19;1
26/02/14 21:13:31;37,34719;-6,047502;75,5;4,11;15,4;8;27;1
26/02/14 21:13:32;37,347178;-6,047453;75,1;4,47;16,9;8;40;1
26/02/14 21:13:33;37,347167;-6,0474;74,8;4,89;17,9;8;34;1
26/02/14 21:13:34;37,347153;-6,047345;74,5;5,09;18,4;8;24;1
26/02/14 21:13:35;37,347138;-6,04729;74,1;5,15;18,4;8;19;1
26/02/14 21:13:36;37,347125;-6,047233;73,7;5,23;18,4;8;28;1
26/02/14 21:13:37;37,347112;-6,047178;73,3;5,09;18,4;8;24;1
26/02/14 21:13:38;37,347097;-6,047123;72,9;5,15;18,4;8;17;1
26/02/14 21:13:39;37,347083;-6,047068;72,4;5,09;17,8;8;9;1
26/02/14 21:13:40;37,34707;-6,047018;72;4,67;15,8;8;10;1
26/02/14 21:13:41;37,347058;-6,046972;71,5;4,33;15,3;8;20;1
26/02/14 21:13:42;37,347047;-6,046925;71,2;4,33;15,6;8;17;1
26/02/14 21:13:43;37,347033;-6,04688;70,7;4,25;15,6;8;7;1
26/02/14 21:13:44;37,347013;-6,04684;70,3;4,18;15,1;8;4;1
26/02/14 21:13:45;37,346983;-6,04681;69,9;4,26;15,7;8;7;1
26/02/14 21:13:46;37,346945;-6,046788;69,6;4,68;16,9;8;32;1
26/02/14 21:13:47;37,346908;-6,046757;69,4;4,95;18,6;8;4;1
26/02/14 21:13:48;37,346878;-6,04671;69,1;5,31;18,6;8;4;1
26/02/14 21:13:49;37,346858;-6,046652;68,7;5,62;21,2;8;14;1
26/02/14 21:13:51;37,34682;-6,046533;68,4;11,31;17,7;8;27;1
26/02/14 21:13:52;37,346797;-6,04649;68,2;4,63;15,4;8;24;1
26/02/14 21:13:53;37,346772;-6,046455;67,8;4,16;14,4;8;40;1
26/02/14 21:13:54;37,346745;-6,046423;67,5;4,08;15,5;8;48;1
26/02/14 21:13:56;37,346683;-6,046358;66,9;8,95;15,9;8;29;1
26/02/14 21:13:57;37,346653;-6,046325;66,4;4,46;16;8;27;1
26/02/14 21:13:58;37,346623;-6,046292;66,2;4,46;15,8;8;38;1
26/02/14 21:13:59;37,346595;-6,046258;65,8;4,32;15,4;8;47;1
26/02/14 21:14:00;37,346565;-6,046225;65,6;4,46;16,2;8;47;1
26/02/14 21:14:01;37,346535;-6,04619;65,2;4,55;16,6;8;31;1
26/02/14 21:14:02;37,346502;-6,046155;65,3;4,83;16,8;8;27;1
26/02/14 21:14:03;37,34647;-6,046118;65,3;4,79;16,7;8;28;1
26/02/14 21:14:04;37,346438;-6,046083;65,3;4,69;16,6;8;29;1
26/02/14 21:14:05;37,346408;-6,046048;65,3;4,56;16,5;8;28;1
26/02/14 21:14:06;37,346377;-6,046013;65,2;4,69;16,5;8;13;1
26/02/14 21:14:07;37,346347;-6,045978;65,2;4,56;16,5;8;9;1
26/02/14 21:14:08;37,346317;-6,045943;65,1;4,56;16,4;8;7;1
26/02/14 21:14:09;37,346287;-6,045908;65,1;4,55;15,8;8;7;1
26/02/14 21:14:10;37,346258;-6,045877;65,1;4,22;14,9;8;7;1
26/02/14 21:14:11;37,34623;-6,045845;65,1;4,22;14,4;8;8;1
26/02/14 21:14:12;37,346205;-6,045813;65,1;3,95;14,2;8;13;1
26/02/14 21:14:13;37,34618;-6,045782;65,1;3,95;13,9;8;31;1
26/02/14 21:14:14;37,346158;-6,045748;65,1;3,81;13,8;8;41;1
26/02/14 21:14:15;37,346137;-6,045713;65,2;3,93;14,3;8;45;1
26/02/14 21:14:16;37,346118;-6,045673;65,2;4,09;14,6;8;45;1
26/02/14 21:14:17;37,346105;-6,045632;65,3;3,98;14,9;8;27;1
26/02/14 21:14:18;37,346097;-6,045585;65,4;4,23;15,8;8;16;1
26/02/14 21:14:20;37,346095;-6,045478;65,7;9,44;17,1;8;17;1
26/02/14 21:14:22;37,346115;-6,045378;66,2;9,12;15,3;8;45;1
26/02/14 21:14:24;37,346133;-6,045295;66,5;7,65;13,1;7;5;1
26/02/14 21:14:25;37,346132;-6,045253;67;3,69;12,8;7;2;1
26/02/14 21:14:27;37,346113;-6,04517;69,7;7,65;13;7;1;1
26/02/14 21:14:28;37,3461;-6,045128;71,2;3,98;13;7;2;1
26/02/14 21:14:29;37,346082;-6,04509;73;3,96;12,9;7;4;1
26/02/14 21:14:30;37,346062;-6,045055;74,8;3,81;11,9;7;8;1
26/02/14 21:14:31;37,346043;-6,045027;76,2;3,23;10,1;7;11;1
26/02/14 21:14:32;37,346025;-6,045;77,3;3,12;11,1;7;14;1
26/02/14 21:14:33;37,346003;-6,044975;78,6;3,27;11,2;7;17;1
26/02/14 21:14:34;37,34598;-6,044955;78,9;3,14;11,7;7;17;1
26/02/14 21:14:35;37,345955;-6,044942;78,1;3,02;11,7;7;13;1
26/02/14 21:14:36;37,345927;-6,044932;77,9;3,28;12;7;12;1
26/02/14 21:14:37;37,345897;-6,044927;77,4;3,37;13;7;11;1
26/02/14 21:14:38;37,345863;-6,044923;76,8;3,72;14,7;7;14;1
26/02/14 21:14:39;37,345825;-6,044922;76,2;4,27;15,9;7;22;1
26/02/14 21:14:40;37,345785;-6,04492;75,3;4,46;16,8;7;28;1
26/02/14 21:14:41;37,34574;-6,04492;75,9;5,01;17,1;8;19;1
26/02/14 21:14:42;37,345697;-6,044918;76,8;4,82;16,3;8;9;1
26/02/14 21:14:43;37,34565;-6,044915;78,5;5,2;16,3;8;8;1
26/02/14 21:14:44;37,345605;-6,044912;79,8;5,02;17,3;8;9;1
26/02/14 21:14:45;37,345562;-6,044912;80,5;4,82;16,8;8;10;1
26/02/14 21:14:46;37,345518;-6,044912;80,8;4,82;16,1;8;9;1
26/02/14 21:14:47;37,345478;-6,044915;81,4;4,46;15,8;7;13;1
26/02/14 21:14:48;37,345438;-6,04492;81,7;4,47;15,8;8;21;1
26/02/14 21:14:49;37,345397;-6,044923;83,9;4,65;14,7;8;31;1
26/02/14 21:14:50;37,345358;-6,044932;85,1;4,33;14,1;8;22;1
26/02/14 21:14:51;37,345325;-6,04494;85,1;3,78;13;8;16;1
26/02/14 21:14:52;37,345295;-6,044948;84,5;3,42;13,2;8;12;1
26/02/14 21:14:53;37,345262;-6,044955;84,4;3,76;13,6;8;13;1
26/02/14 21:14:54;37,345227;-6,044965;84,1;4;14,3;8;17;1
26/02/14 21:14:55;37,345193;-6,044975;83,8;3,81;14,7;8;16;1
26/02/14 21:14:56;37,345157;-6,044988;83,6;4,25;15,3;8;14;1
26/02/14 21:14:57;37,345118;-6,045002;84,1;4,43;15,9;8;17;1
26/02/14 21:14:58;37,345078;-6,045017;84,2;4,65;16,6;8;30;1
26/02/14 21:14:59;37,345038;-6,045033;83,9;4,69;16,8;8;41;1
26/02/14 21:15:00;37,345;-6,045053;82,9;4,62;16,4;8;26;1
26/02/14 21:15:02;37,344928;-6,045097;80,4;8,85;16,3;8;16;1
26/02/14 21:15:03;37,344893;-6,04512;79,4;4,41;16,3;8;32;1
26/02/14 21:15:04;37,344858;-6,04514;79;4,28;14,5;7;35;1
26/02/14 21:15:05;37,344828;-6,04516;78,3;3,78;13,1;7;29;1
