Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
20/02/14 19:56:09;37,335727;-6,039157;39,4;4,12;15,5;9;114;1
20/02/14 19:56:11;37,335802;-6,039173;38,5;8,48;15,7;9;47;1
20/02/14 19:56:12;37,335838;-6,039165;38,2;4,15;15,5;9;8;1
20/02/14 19:56:13;37,335872;-6,039142;38,2;4,25;15,4;9;19;1
20/02/14 19:56:14;37,335898;-6,039107;38,2;4,29;15,8;9;66;1
20/02/14 19:56:15;37,335922;-6,039065;38,2;4,51;15,8;9;122;1
20/02/14 19:56:16;37,335947;-6,03902;38,3;4,86;18,3;9;48;1
20/02/14 19:56:17;37,335973;-6,038973;38,4;5,09;19;9;21;1
20/02/14 19:56:18;37,336002;-6,038925;38,5;5,31;19,1;9;64;1
20/02/14 19:56:19;37,336028;-6,038878;38,5;5,09;18,1;9;150;1
20/02/14 19:56:20;37,336055;-6,038835;38,6;4,85;18,1;9;78;1
20/02/14 19:56:22;37,336102;-6,038747;39;9,39;16,5;9;38;1
20/02/14 19:56:24;37,336148;-6,038663;39,4;9,02;16,5;9;14;1
20/02/14 19:56:25;37,336172;-6,038622;39,7;4,51;16,5;9;12;1
20/02/14 19:56:26;37,336197;-6,03858;39,9;4,62;16,9;9;3;1
20/02/14 19:56:27;37,336222;-6,038537;40;4,74;17,3;9;3;1
20/02/14 19:56:28;37,336247;-6,038492;40,2;4,86;17,8;9;10;1
20/02/14 19:56:29;37,336273;-6,038447;40,4;4,97;18,1;9;31;1
20/02/14 19:56:30;37,3363;-6,038402;41;4,97;18,1;9;59;1
20/02/14 19:56:31;37,33633;-6,038358;41,5;5,08;18,4;9;16;1
20/02/14 19:56:32;37,336358;-6,038312;41,6;5,19;18,6;8;9;1
20/02/14 19:56:33;37,336388;-6,038267;41,8;5,2;19;9;20;1
20/02/14 19:56:34;37,336418;-6,03822;42,1;5,31;19,3;9;55;1
20/02/14 19:56:35;37,33645;-6,038175;42,4;5,32;19,3;9;29;1
20/02/14 19:56:36;37,336483;-6,038127;42,8;5,66;20,2;9;20;1
20/02/14 19:56:37;37,336518;-6,03808;43,3;5,68;20,4;9;38;1
20/02/14 19:56:38;37,336553;-6,038032;43,7;5,78;20,5;9;4;1
20/02/14 19:56:39;37,33659;-6,037983;44,2;5,91;20,4;9;2;1
20/02/14 19:56:40;37,336627;-6,037938;44,6;5,7;20,4;9;4;1
20/02/14 19:56:41;37,336662;-6,037897;45;5,36;17,3;9;19;1
20/02/14 19:56:42;37,33669;-6,03786;45,3;4,52;14,2;9;45;1
