Fecha;Latitud;Longitud;Altura;Distancia;Velocidad;Satelites;Medida;Valido
27/02/14 19:59:43;37,344753;-6,045167;58;2,43;9,1;7;24;1
27/02/14 19:59:44;37,344743;-6,04519;58;2,35;8,8;8;20;1
27/02/14 19:59:45;37,344738;-6,045218;58;2,57;8,8;7;16;1
27/02/14 19:59:46;37,344742;-6,045248;58;2,68;9,1;7;9;1
27/02/14 19:59:47;37,344748;-6,04528;58;2,9;10,7;8;10;1
27/02/14 19:59:48;37,344758;-6,045313;57,7;3,15;11,7;8;13;1
27/02/14 19:59:49;37,344768;-6,04535;57,5;3,43;12,7;8;14;1
27/02/14 19:59:50;37,34478;-6,04539;57,3;3,77;13,8;8;14;1
27/02/14 19:59:51;37,344792;-6,045432;57,3;3,91;13,7;7;10;1
27/02/14 19:59:52;37,344803;-6,045473;57,2;3,91;13,5;7;7;1
27/02/14 19:59:53;37,344813;-6,045515;57,3;3,85;13,6;8;5;1
27/02/14 19:59:54;37,344825;-6,045558;57,3;4,05;14,8;8;5;1
27/02/14 19:59:55;37,344837;-6,045603;57,4;4,19;14,9;8;7;1
27/02/14 19:59:56;37,34485;-6,045647;57,4;4,11;14,5;8;10;1
27/02/14 19:59:57;37,344863;-6,045692;57,5;4,25;14,8;8;19;1
27/02/14 19:59:58;37,344875;-6,045737;57,6;4,19;15;8;27;1
27/02/14 19:59:59;37,344888;-6,045783;57,5;4,39;15,4;8;34;1
27/02/14 20:00:00;37,3449;-6,04583;57,6;4,33;15,9;8;28;1
27/02/14 20:00:01;37,344913;-6,04588;57,6;4,67;16,4;8;20;1
27/02/14 20:00:02;37,344927;-6,04593;57,6;4,67;16,9;8;17;1
27/02/14 20:00:03;37,34494;-6,045982;57,6;4,81;17,1;8;22;1
27/02/14 20:00:04;37,344953;-6,046033;57,4;4,81;17,4;8;29;1
27/02/14 20:00:05;37,344967;-6,046087;57,1;4,95;17,3;8;28;1
